Model,Dataset,Accuracy,F1_Weighted,F1_Macro,F1_Score,Variance
XGBoost,train,0.9685730238494058,0.9650117420459287,0.6960401372935571,0.9650117420459287,0.0035054641775786877
XGBoost,val,0.8299242424242425,0.8270911547204114,0.7592961338011065,0.8270911547204114,0.0032081729732453823
XGBoost,test,0.8315032184778492,0.8277968260628799,0.7396911284005127,0.8277968260628799,0.003226666245609522
RandomForest,train,0.9607561617611868,0.9613283580825788,0.974144770723485,0.9613283580825788,0.0010138101103275947
RandomForest,val,0.8143939393939394,0.8151458932723142,0.7400024325706107,0.8151458932723142,0.0008602419368513709
RandomForest,test,0.8049981067777358,0.803993123531114,0.7004498572091629,0.803993123531114,0.0008680568262850349
LightGBM,train,0.9895509292494217,0.9895648114992536,0.9913814181787381,0.9895648114992536,0.0038429974697503744
LightGBM,val,0.8208333333333333,0.8175581307580546,0.7397906429545084,0.8175581307580546,0.00341933851003475
LightGBM,test,0.8250662627792503,0.8218493944316364,0.7166066891560391,0.8218493944316364,0.0034114166780718947
