Feature,Importance
osda_total_volume,0.138671875
osda1_index,0.1318359375
cryst_temp,0.109375
Si,0.0986328125
Al,0.09375
Na,0.072265625
osda1_asphericity_mean_0,0.060546875
osda1_axes_mean_0,0.05859375
osda1_box_mean_0,0.05859375
rotation,0.052734375
Ge,0.0517578125
P,0.048828125
K,0.046875
osda1_getaway_mean_0,0.044921875
cryst_time,0.0439453125
osda1_bertz_ct_mean_0,0.04296875
osda1_box_mean_1,0.0419921875
OH,0.0380859375
osda1_getaway_mean_1,0.0380859375
F,0.037109375
osda_avg_bertz,0.0341796875
osda_min_asphericity,0.0283203125
osda_max_bertz,0.0283203125
Gel_Si_Al,0.02734375
Gel_P_Si,0.025390625
aging_temp,0.0224609375
osda_avg_sasa,0.0205078125
osda_min_sasa,0.0205078125
osda_avg_asphericity,0.0185546875
osda2_index,0.017578125
osda_max_sasa,0.0146484375
osda1_free_sasa_mean_0,0.013671875
H2O_T,0.0107421875
osda2_bertz_ct_mean_0,0.0107421875
Cs,0.0087890625
B,0.0087890625
osda1_axes_mean_1,0.0087890625
aging_time,0.0078125
osda1_eccentricity_mean_0,0.0078125
osda2_asphericity_mean_0,0.0078125
osda2_axes_mean_1,0.0078125
Li,0.0068359375
osda2_free_sasa_mean_0,0.0068359375
Ga,0.0048828125
Fe,0.0048828125
osda2_eccentricity_mean_0,0.0048828125
Mg,0.00390625
Cu,0.00390625
osda2_axes_mean_0,0.00390625
osda2_box_mean_1,0.00390625
Ni,0.0029296875
seed,0.0029296875
Sr,0.001953125
Co,0.001953125
Zn,0.001953125
acid,0.001953125
osda2_box_mean_0,-0.001953125
osda2_box_mean_2,0.001953125
osda2_getaway_mean_0,-0.001953125
osda_max_asphericity,0.001953125
Rb,-0.0009765625
Mn,0.0009765625
Cr,0.0009765625
Be,0.0009765625
Gd,0.0009765625
Ta,0.0009765625
OH_T,0.0009765625
Gel_P_Al,0.0009765625
osda2_getaway_mean_1,0.0009765625
osda3_box_mean_0,0.0009765625
osda_min_bertz,-0.0009765625
Ba,0.0
Ca,0.0
Ti,0.0
In,0.0
Nb,0.0
W,0.0
Ce,0.0
Sn,0.0
La,0.0
Y,0.0
Dy,0.0
Sm,0.0
Ag,0.0
Cd,0.0
Zr,0.0
V,0.0
Ru,0.0
Hf,0.0
Yb,0.0
Tl,0.0
As,0.0
osda3_index,0.0
osda1_box_mean_2,0.0
osda3_bertz_ct_mean_0,0.0
osda3_free_sasa_mean_0,0.0
osda3_asphericity_mean_0,0.0
osda3_eccentricity_mean_0,0.0
osda3_axes_mean_0,0.0
osda3_axes_mean_1,0.0
osda3_box_mean_1,0.0
osda3_box_mean_2,0.0
osda3_getaway_mean_0,0.0
osda3_getaway_mean_1,0.0
