Framework,Precision,Recall,F1_Score,Support
*-ITN,1.0,1.0,1.0,2.0
*-SVY,0.6842105263157895,1.0,0.8125,13.0
*BEA,0.7848837209302325,0.7584269662921348,0.7714285714285715,178.0
*CTH,0.875,0.7777777777777778,0.8235294117647058,9.0
*MRE,0.7727272727272727,0.6296296296296297,0.6938775510204082,27.0
*STO,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0
*UOE,1.0,1.0,1.0,2.0
-CLO,1.0,0.8,0.8888888888888888,5.0
-IRY,1.0,1.0,1.0,1.0
-ITV,1.0,1.0,1.0,8.0
-LIT,0.5,1.0,0.6666666666666666,1.0
-SVR,0.0,0.0,0.0,1.0
ABW,0.75,0.42857142857142855,0.5454545454545454,7.0
AEI,0.7878787878787878,0.7428571428571429,0.7647058823529411,35.0
AEL,0.803921568627451,0.7884615384615384,0.7961165048543689,52.0
AEN,0.7916666666666666,0.6129032258064516,0.6909090909090909,31.0
AFI,0.841726618705036,0.8478260869565217,0.8447653429602888,138.0
AFN,1.0,0.6666666666666666,0.8,3.0
AFO,0.625,0.5555555555555556,0.5882352941176471,9.0
AFR,0.5,1.0,0.6666666666666666,2.0
AFS,0.0,0.0,0.0,2.0
AFV,0.6666666666666666,1.0,0.8,2.0
AFX,0.8333333333333334,0.5,0.625,10.0
AFY,0.4,1.0,0.5714285714285714,2.0
ANA,0.8666666666666667,0.3939393939393939,0.5416666666666666,33.0
APC,1.0,1.0,1.0,1.0
APD,1.0,1.0,1.0,1.0
AST,0.7894736842105263,0.6818181818181818,0.7317073170731707,22.0
ASV,1.0,1.0,1.0,1.0
ATN,1.0,0.6666666666666666,0.8,3.0
ATO,0.64,0.8,0.7111111111111111,20.0
ATS,0.9,0.9,0.9,10.0
AVL,1.0,1.0,1.0,2.0
AWO,0.5714285714285714,0.4444444444444444,0.5,9.0
BEC,0.8518518518518519,0.575,0.6865671641791045,40.0
BPH,0.8,0.5714285714285714,0.6666666666666666,7.0
CAN,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
CDO,0.0,0.0,0.0,1.0
CFI,1.0,0.75,0.8571428571428571,8.0
CGS,1.0,1.0,1.0,5.0
CHA,0.9043062200956937,0.8873239436619719,0.8957345971563981,213.0
CON,0.6666666666666666,0.75,0.7058823529411765,8.0
CSV,1.0,1.0,1.0,5.0
DDR,0.7142857142857143,0.5555555555555556,0.625,18.0
DOH,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
EDI,1.0,1.0,1.0,5.0
EMT,0.6451612903225806,0.9090909090909091,0.7547169811320755,22.0
EON,0.0,0.0,0.0,1.0
ERI,0.72,0.9473684210526315,0.8181818181818182,19.0
ERI/OFF,0.9166666666666666,1.0,0.9565217391304348,11.0
ETL,0.3333333333333333,0.5,0.4,2.0
EUO,1.0,0.6111111111111112,0.7586206896551724,18.0
EZT,1.0,1.0,1.0,2.0
FAU,0.7692307692307693,0.7317073170731707,0.75,82.0
FAU/EMT,0.0,0.0,0.0,1.0
FER,0.6938775510204082,0.7555555555555555,0.723404255319149,45.0
GIS,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0
GME,0.7272727272727273,1.0,0.8421052631578947,8.0
HEU,0.5,0.5,0.5,2.0
IFO,0.0,0.0,0.0,1.0
IFR,1.0,0.9090909090909091,0.9523809523809523,11.0
IFW,1.0,1.0,1.0,1.0
IMF,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
IRR,0.6842105263157895,0.8666666666666667,0.7647058823529411,15.0
ISV,1.0,0.8,0.8888888888888888,15.0
ISV/BEC,0.6666666666666666,0.7333333333333333,0.6984126984126984,30.0
ITE,0.4666666666666667,0.7,0.56,10.0
ITG,1.0,1.0,1.0,3.0
ITH,0.8148148148148148,1.0,0.8979591836734694,22.0
ITQ-21,0.8421052631578947,0.8,0.8205128205128205,20.0
ITQ-43,0.2,0.25,0.2222222222222222,4.0
ITR,1.0,1.0,1.0,1.0
ITT,0.7272727272727273,0.8888888888888888,0.8,9.0
ITW,0.6153846153846154,0.8,0.6956521739130435,10.0
IWR,0.8181818181818182,0.8571428571428571,0.8372093023255814,21.0
IWS,0.0,0.0,0.0,1.0
IWV,1.0,1.0,1.0,3.0
IWW,0.9,0.8181818181818182,0.8571428571428571,11.0
JBW,1.0,1.0,1.0,1.0
JSW,0.5,1.0,0.6666666666666666,2.0
KFI,0.5,1.0,0.6666666666666666,3.0
LAU,1.0,1.0,1.0,2.0
LEV,0.7837837837837838,0.8529411764705882,0.8169014084507042,34.0
LOS,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
LTA,0.8125,0.7738095238095238,0.7926829268292683,84.0
LTL,0.7857142857142857,0.6875,0.7333333333333333,16.0
MAZ,0.6666666666666666,0.7058823529411765,0.6857142857142857,17.0
MEI,0.5333333333333333,1.0,0.6956521739130435,8.0
MEL,0.7692307692307693,0.7142857142857143,0.7407407407407407,28.0
MEL/MFI,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
MER,1.0,0.375,0.5454545454545454,8.0
MFI,0.8676923076923077,0.8367952522255193,0.851963746223565,337.0
MFI/MEL,0.75,0.75,0.75,4.0
MFS,0.5,0.6666666666666666,0.5714285714285714,3.0
MOR,0.7352941176470589,0.6756756756756757,0.704225352112676,74.0
MRT,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
MSE,0.8571428571428571,1.0,0.9230769230769231,6.0
MSO,1.0,1.0,1.0,1.0
MTF,0.6666666666666666,1.0,0.8,4.0
MTN,0.6666666666666666,0.75,0.7058823529411765,16.0
MTT,0.7105263157894737,0.7941176470588235,0.75,34.0
MTW,0.6185567010309279,0.6666666666666666,0.6417112299465241,90.0
MWF,0.0,0.0,0.0,1.0
MWW,0.8873239436619719,0.9,0.8936170212765957,70.0
NAT,0.5,0.5,0.5,2.0
NES,1.0,0.6666666666666666,0.8,3.0
NON,0.6774193548387096,0.75,0.711864406779661,28.0
NSI,0.75,1.0,0.8571428571428571,3.0
NUD-1,1.0,0.5,0.6666666666666666,2.0
OFF,0.5,0.6666666666666666,0.5714285714285714,9.0
PAU,1.0,0.3333333333333333,0.5,3.0
PHI,0.6,0.5,0.5454545454545454,6.0
PON,0.6666666666666666,1.0,0.8,2.0
PWW,0.0,0.0,0.0,1.0
RHO,1.0,0.9,0.9473684210526315,10.0
RTE,0.5,1.0,0.6666666666666666,1.0
RTH,1.0,0.5882352941176471,0.7407407407407407,17.0
RUT,0.45454545454545453,0.625,0.5263157894736842,8.0
SAF,0.0,0.0,0.0,1.0
SAO,1.0,1.0,1.0,1.0
SAS,1.0,0.2,0.3333333333333333,5.0
SAV,0.4166666666666667,1.0,0.5882352941176471,5.0
SBE,1.0,1.0,1.0,1.0
SFE,0.75,1.0,0.8571428571428571,3.0
SFF,0.5,1.0,0.6666666666666666,1.0
SFO,0.6363636363636364,1.0,0.7777777777777778,7.0
SFS,1.0,1.0,1.0,1.0
SGT,0.5,0.3333333333333333,0.4,3.0
SOD,0.6129032258064516,0.59375,0.6031746031746031,32.0
SSY,1.0,1.0,1.0,1.0
STF,0.7272727272727273,0.5714285714285714,0.64,28.0
STI,0.25,0.3333333333333333,0.2857142857142857,3.0
STT,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0
STW,1.0,0.8823529411764706,0.9375,17.0
SVV,0.0,0.0,0.0,1.0
SWY,1.0,1.0,1.0,2.0
SZR,0.8181818181818182,0.6923076923076923,0.75,13.0
TON,0.7361111111111112,0.9298245614035088,0.8217054263565892,57.0
TON/MTT,0.5454545454545454,1.0,0.7058823529411765,6.0
TUN,0.5,0.6,0.5454545454545454,5.0
UFI,0.0,0.0,0.0,2.0
UOS,1.0,1.0,1.0,2.0
UOV,0.75,1.0,0.8571428571428571,3.0
UTL,0.7380952380952381,0.9393939393939394,0.8266666666666667,33.0
VET,0.7777777777777778,0.6363636363636364,0.7,11.0
VFI,0.0,0.0,0.0,3.0
YFI,0.5,1.0,0.6666666666666666,1.0
ZON,0.42857142857142855,1.0,0.6,3.0
